Date,Copper_Price_USD
2025-03-10,4.639500141143799
2025-03-11,4.739999771118164
2025-03-12,4.821000099182129
2025-03-13,4.898499965667725
2025-03-14,4.869500160217285
2025-03-17,4.933499813079834
2025-03-18,4.993000030517578
2025-03-19,5.076000213623047
2025-03-20,5.085000038146973
2025-03-21,5.087500095367432
2025-03-24,5.064000129699707
2025-03-25,5.183000087738037
2025-03-26,5.216000080108643
2025-03-27,5.097499847412109
2025-03-28,5.112500190734863
2025-03-31,5.019999980926514
2025-04-01,5.019000053405762
2025-04-02,5.023499965667725
2025-04-03,4.810999870300293
2025-04-04,4.384500026702881
2025-04-07,4.169000148773193
2025-04-08,4.127500057220459
2025-04-09,4.17549991607666
2025-04-10,4.321000099182129
2025-04-11,4.507500171661377
2025-04-14,4.610499858856201
2025-04-15,4.611000061035156
2025-04-16,4.673999786376953
2025-04-17,4.731500148773193
2025-04-21,4.7210001945495605
2025-04-22,4.870500087738037
2025-04-23,4.8354997634887695
2025-04-24,4.849999904632568
2025-04-25,4.8354997634887695
2025-04-28,4.8379998207092285
2025-04-29,4.822999954223633
2025-04-30,4.559999942779541
2025-05-01,4.580999851226807
2025-05-02,4.627500057220459
2025-05-05,4.65500020980835
2025-05-06,4.735000133514404
2025-05-07,4.616499900817871
2025-05-08,4.560999870300293
2025-05-09,4.611000061035156
2025-05-12,4.578499794006348
2025-05-13,4.68149995803833
2025-05-14,4.611000061035156
2025-05-15,4.644499778747559
2025-05-16,4.555500030517578
2025-05-19,4.633500099182129
2025-05-20,4.619500160217285
2025-05-21,4.638000011444092
2025-05-22,4.648499965667725
2025-05-23,4.80649995803833
2025-05-27,4.710000038146973
2025-05-28,4.644000053405762
2025-05-29,4.653500080108643
2025-05-30,4.652500152587891
2025-06-02,4.834499835968018
2025-06-03,4.809500217437744
2025-06-04,4.864500045776367
2025-06-05,4.91349983215332
2025-06-06,4.829999923706055
2025-06-09,4.9095001220703125
2025-06-10,4.883999824523926
2025-06-11,4.801000118255615
2025-06-12,4.821499824523926
2025-06-13,4.802999973297119
2025-06-16,4.826499938964844
2025-06-17,4.80049991607666
2025-06-18,4.84499979019165
2025-06-20,4.826000213623047
2025-06-23,4.8429999351501465
2025-06-24,4.867000102996826
2025-06-25,4.913000106811523
2025-06-26,5.065499782562256
2025-06-27,5.06850004196167
2025-06-30,5.03000020980835
2025-07-01,5.047999858856201
2025-07-02,5.14900016784668
2025-07-03,5.0970001220703125
2025-07-04,5.018499851226807
2025-07-07,4.984499931335449
2025-07-08,5.644999980926514
2025-07-09,5.44350004196167
2025-07-10,5.547999858856201
2025-07-11,5.561999797821045
2025-07-14,5.514999866485596
2025-07-15,5.546000003814697
2025-07-16,5.496500015258789
2025-07-17,5.486000061035156
2025-07-18,5.578000068664551
2025-07-21,5.610499858856201
2025-07-22,5.697000026702881
2025-07-23,5.795000076293945
2025-07-24,5.7769999504089355
2025-07-25,5.763500213623047
2025-07-28,5.59499979019165
2025-07-29,5.603499889373779
2025-07-30,5.570000171661377
2025-07-31,4.33050012588501
2025-08-01,4.412499904632568
2025-08-04,4.414999961853027
2025-08-05,4.363999843597412
2025-08-06,4.390999794006348
2025-08-07,4.378499984741211
2025-08-08,4.45550012588501
2025-08-11,4.423500061035156
2025-08-12,4.508500099182129
2025-08-13,4.48199987411499
2025-08-14,4.4644999504089355
2025-08-15,4.478000164031982
2025-08-18,4.456999778747559
2025-08-19,4.408999919891357
2025-08-20,4.426000118255615
2025-08-21,4.43149995803833
2025-08-22,4.447500228881836
2025-08-25,4.4664998054504395
2025-08-26,4.450500011444092
2025-08-27,4.4145002365112305
2025-08-28,4.463500022888184
2025-08-29,4.518499851226807
2025-09-02,4.569499969482422
2025-09-03,4.558499813079834
2025-09-04,4.48799991607666
2025-09-05,4.482500076293945
2025-09-08,4.490499973297119
2025-09-09,4.500999927520752
2025-09-10,4.550000190734863
2025-09-11,4.5904998779296875
2025-09-12,4.588500022888184
2025-09-15,4.6554999351501465
2025-09-16,4.632999897003174
2025-09-17,4.571000099182129
2025-09-18,4.540999889373779
2025-09-19,4.568999767303467
2025-09-22,4.572999954223633
2025-09-23,4.584499835968018
2025-09-24,4.752500057220459
2025-09-25,4.699999809265137
2025-09-26,4.7154998779296875
2025-09-29,4.841000080108643
2025-09-30,4.804999828338623
2025-10-01,4.83050012588501
2025-10-02,4.8979997634887695
2025-10-03,5.058000087738037
2025-10-06,4.986999988555908
2025-10-07,5.047999858856201
2025-10-08,5.046000003814697
2025-10-09,5.075500011444092
2025-10-10,4.848499774932861
2025-10-13,5.100500106811523
2025-10-14,4.980500221252441
2025-10-15,4.9720001220703125
2025-10-16,4.958000183105469
2025-10-17,4.93149995803833
2025-10-20,4.998000144958496
2025-10-21,4.929999828338623
2025-10-22,4.960999965667725
2025-10-23,5.081999778747559
2025-10-24,5.093500137329102
2025-10-27,5.140500068664551
2025-10-28,5.140500068664551
2025-10-29,5.233500003814697
2025-10-30,5.078000068664551
2025-10-31,5.065499782562256
2025-11-03,5.046999931335449
2025-11-04,4.926000118255615
2025-11-05,4.9629998207092285
2025-11-06,4.945499897003174
2025-11-07,4.938000202178955
2025-11-10,5.086999893188477
2025-11-11,5.048500061035156
2025-11-12,5.0894999504089355
2025-11-13,5.087500095367432
2025-11-14,5.049499988555908
2025-11-17,5.0
2025-11-18,4.962500095367432
2025-11-19,5.007999897003174
2025-11-20,4.959499835968018
2025-11-21,5.008500099182129
2025-11-24,4.961999893188477
2025-11-25,4.999499797821045
2025-11-26,5.104499816894531
2025-11-28,5.185500144958496
2025-12-01,5.218999862670898
2025-12-02,5.160999774932861
2025-12-03,5.308000087738037
2025-12-04,5.291500091552734
2025-12-05,5.381999969482422
2025-12-08,5.364500045776367
2025-12-09,5.240499973297119
2025-12-10,5.2754998207092285
2025-12-11,5.427000045776367
2025-12-12,5.2835001945495605
2025-12-15,5.338500022888184
2025-12-16,5.2870001792907715
2025-12-17,5.363500118255615
2025-12-18,5.366499900817871
2025-12-19,5.439499855041504
2025-12-22,5.4375
2025-12-23,5.47599983215332
2025-12-24,5.498499870300293
2025-12-26,5.766499996185303
2025-12-29,5.490499973297119
2025-12-30,5.727499961853027
2025-12-31,5.630000114440918
2026-01-02,5.639999866485596
2026-01-05,5.924499988555908
2026-01-06,6.010499954223633
2026-01-07,5.809000015258789
2026-01-08,5.746500015258789
2026-01-09,5.855500221252441
2026-01-12,5.985000133514404
2026-01-13,5.96999979019165
2026-01-14,6.008999824523926
2026-01-15,5.947999954223633
2026-01-16,5.78849983215332
2026-01-20,5.7729997634887695
2026-01-21,5.729499816894531
2026-01-22,5.742499828338623
2026-01-23,5.910999774932861
2026-01-26,5.984000205993652
2026-01-27,5.828499794006348
2026-01-28,5.892499923706055
2026-01-29,6.17549991607666
2026-01-30,5.896999835968018
2026-02-02,5.801499843597412
2026-02-03,6.0625
2026-02-04,5.826000213623047
2026-02-05,5.798999786376953
2026-02-06,5.863500118255615
2026-02-09,5.945000171661377
2026-02-10,5.895999908447266
2026-02-11,5.948999881744385
2026-02-12,5.770999908447266
2026-02-13,5.792500019073486
2026-02-17,5.632999897003174
2026-02-18,5.793499946594238
2026-02-19,5.730000019073486
2026-02-20,5.830999851226807
2026-02-23,5.7729997634887695
2026-02-24,5.922999858856201
2026-02-25,5.979499816894531
2026-02-26,5.947000026702881
2026-02-27,6.004499912261963
2026-03-02,5.894499778747559
2026-03-03,5.773499965667725
2026-03-04,5.855000019073486
2026-03-05,5.752999782562256
2026-03-06,5.756999969482422
